Index,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Canada,854,872,923,982,1051,1131,1187,1267,1347,1408,1525,1560,1658,1761,1817,1745,1781,1826,1886,1930,1897,1783,1582,1502,1520,1526,1531,1607,1681,1754,1737,1677,1725,1751,1772,1817,1871,1959,1949,2036,2008,2029,2040,2155,2233,2316,2312,2401,2312,2257,2364,2393,2438,2418,2389,2440,2465,2462,2509,2471,2171,2259,2283
Chile,46,51,55,59,62,69,76,81,86,92,97,109,112,108,105,92,96,100,106,111,112,113,103,100,99,96,102,106,117,132,137,144,156,172,185,203,218,234,239,244,240,234,240,248,263,272,278,352,369,348,322,332,332,339,336,330,352,357,363,362,331,367,382
Mexico,84,105,119,154,189,222,252,273,339,414,487,528,602,666,725,769,846,897,970,1038,1179,1304,1368,1320,1395,1476,1523,1576,1598,1715,1754,1830,1855,1821,1923,1801,1820,1888,2002,2043,2063,2038,1953,1952,2020,2069,2076,2136,2126,2058,2094,2120,2102,2091,2040,2006,2053,2019,1886,1985,1599,1655,1916
United States,10225,10396,10854,11489,11721,12214,12821,13148,14068,14865,15439,15939,17193,18121,17368,16791,18056,19321,19638,19195,17751,16911,16138,15820,16326,16078,16560,16939,17521,17548,17201,16959,17251,17476,17974,17978,18565,18902,19198,19817,19999,19998,20103,20399,21104,21168,21031,21004,19754,19018,19391,19156,18680,19114,19260,19687,19827,20042,20596,20583,18348,20034,20430
Belgium,145,163,196,221,256,296,302,331,377,433,483,493,533,558,495,480,519,513,542,544,501,458,434,398,385,405,454,457,470,462,463,497,509,500,552,550,593,611,622,594,610,613,620,654,663,660,647,650,695,622,653,611,596,615,607,624,633,638,684,643,563,631,599
France,561,607,675,792,914,996,1078,1226,1360,1524,1870,2033,2246,2488,2327,2162,2331,2236,2385,2401,2235,2009,1876,1835,1771,1753,1764,1785,1801,1844,1826,1942,1934,1878,1866,1920,1949,1969,2043,2032,2001,2054,1992,2001,2008,1989,1990,1974,1934,1860,1817,1826,1790,1765,1746,1747,1710,1737,1686,1689,1428,1548,1535
Germany,631,765,942,1120,1304,1493,1703,1738,1942,2182,2666,2773,2941,3147,2865,2808,2966,2965,3119,3227,2970,2715,2589,2559,2557,2651,2792,2723,2723,2581,2682,2829,2841,2908,2883,2882,2922,2917,2923,2838,2767,2807,2710,2679,2648,2624,2636,2407,2533,2435,2467,2392,2389,2435,2374,2368,2383,2450,2327,2355,2148,2126,2170
Italy,430,523,619,722,855,951,1101,1209,1310,1458,1657,1767,1885,2016,1958,1843,1934,1835,1886,1949,1912,1826,1780,1777,1720,1705,1734,1815,1829,1897,1868,1856,1894,1891,1869,1942,1921,1934,1943,1891,1854,1835,1870,1860,1829,1780,1777,1729,1667,1544,1544,1494,1370,1260,1266,1274,1237,1245,1272,1255,1033,1185,1223
Netherlands,188,223,265,302,350,401,420,440,479,523,631,621,704,732,635,616,707,672,740,831,778,778,624,613,590,610,675,691,723,715,734,758,769,764,764,768,761,793,801,828,930,968,999,1022,1060,1046,1073,1080,1034,980,986,991,963,940,932,932,935,943,929,905,861,850,881
Poland,45,53,59,67,78,86,100,114,132,140,162,178,202,225,240,267,289,312,329,334,342,313,296,307,314,317,331,340,340,345,283,272,279,294,304,317,362,391,404,425,411,405,406,431,454,471,502,524,539,544,567,558,533,505,504,541,582,658,680,698,660,702,729
Spain,121,151,177,184,232,255,308,380,460,510,569,631,668,769,834,855,973,923,964,1014,1025,962,902,907,852,858,866,895,983,981,1010,1068,1104,1055,1119,1189,1199,1266,1356,1396,1433,1492,1504,1542,1571,1607,1588,1611,1547,1467,1441,1386,1301,1208,1200,1247,1290,1297,1332,1328,1088,1188,1286
Turkey,29,38,47,55,62,75,90,108,119,132,148,173,199,230,238,265,296,336,341,297,305,303,324,345,343,359,388,441,436,448,477,466,492,565,542,608,634,630,629,627,667,619,658,645,661,659,678,690,678,703,675,655,689,747,763,882,942,991,958,987,921,978,1019
United Kingdom,920,972,1066,1158,1279,1390,1504,1619,1723,1859,2003,2011,2136,2195,2055,1834,1820,1830,1872,1872,1642,1540,1590,1522,1825,1617,1637,1611,1692,1731,1776,1803,1815,1829,1833,1816,1852,1810,1792,1812,1766,1747,1739,1760,1789,1819,1805,1751,1729,1649,1625,1582,1534,1512,1518,1560,1599,1619,1606,1565,1211,1237,1358
Australia,269,287,297,336,353,378,403,431,471,494,513,528,521,574,648,648,654,689,704,703,690,666,658,622,635,639,644,661,694,722,737,719,728,760,787,810,831,847,852,875,872,872,892,925,941,962,972,988,996,1001,1045,1098,1127,1139,1128,1123,1114,1164,1183,1166,999,1020,1079
Japan,535,691,868,1069,1372,1622,1958,2404,2799,3410,3921,4341,4633,5373,5248,4991,5169,5407,5476,5523,4992,4726,4448,4479,4666,4436,4503,4567,4849,5058,5316,5392,5484,5403,5664,5693,5739,5702,5507,5642,5356,5265,5187,5298,5163,5295,5164,4997,4744,4328,4402,4418,4680,4524,4288,4169,4036,3945,3852,3764,3361,3415,3369
New Zealand,38,42,43,46,52,56,60,63,70,74,80,79,89,93,96,92,96,94,91,91,90,86,84,83,85,82,83,90,94,99,105,103,108,108,119,122,122,126,127,129,134,135,140,145,150,153,154,156,157,151,153,152,151,154,157,161,168,177,179,184,149,149,159
South Korea,118,114,118,122,130,134,142,154,162,177,197,205,213,273,278,305,345,412,470,528,523,519,514,545,554,552,592,627,746,860,1048,1263,1527,1684,1841,2008,2101,2255,1917,2084,2135,2132,2149,2175,2155,2191,2180,2241,2142,2188,2269,2260,2322,2328,2348,2473,2603,2627,2564,2596,2448,2578,2582
China,123,125,135,164,193,222,285,282,307,413,571,776,890,1024,1189,1328,1543,1674,1839,1820,1747,1665,1652,1695,1750,1863,1981,2112,2246,2349,2306,2474,2661,2962,3041,3218,3539,3964,3776,4169,4746,4756,5108,5636,6535,6730,7224,7587,7971,8260,8951,9410,9793,10399,10935,11640,12118,12738,13207,13808,13937,14997,14851
India,161,171,181,211,221,251,281,261,311,342,402,422,453,480,467,480,506,546,591,637,648,696,727,768,822,891,947,1002,1070,1168,1186,1254,1312,1350,1448,1564,1696,1781,1850,2024,2129,2219,2304,2420,2576,2609,2821,3023,3108,3231,3392,3525,3740,3819,3939,4204,4487,4696,4934,4994,4510,4772,5137
