Index,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Canada,2154.90174,2160.373876,2092.682933,1873.357232,1891.905884,1879.955243,1781.268113,1882.596964,1847.84576,1885.226105,1919.505573,1903.057718,1911.209313,1824.095434,1831.687236,1791.872734,1806.93683,1810.836513,1844.455552,1861.186448,1860.588916,1917.29156,1922.637899,1958.615617,1915.247372,1895.937653,1914.215843,1906.674359,1951.420073,1976.088711,1913.184314,2004.535605,2014.852814,1929.441554,1929.441554,1930.789494,1933.707966,1965.7,2045.7,2045.7,2045.7,2045.7,2061.7
Chile,138,148,148,148,148,148,148,148,148,148,148,148,148,150,162,163,181,201,201,201,201,201,218,238,238,238,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220
Mexico,1226,1221,1215,1218,1269,1263,1280,1462,1462,1627,1627,1447.8,1447.8,1444,1444,1444,1444,1448.75,1448.75,1448.75,1481.05,1481.05,1463,1463,1463,1463,1463,1463,1463,1463,1463,1605.5,1605.5,1605.5,1615,1615,1615,1615,1615,1615,1615,1615,1615
United States2,18620,17890,16860,16140,15660,15460,15570,15920,15650,15570,15680,15700,15120,15030,15434,15333,15452,15711,16261,16512,16595,16785,16757,16894,17124.87,17338.814,17443.492,17593.847,17671.55,17583.79,17736.37,17322.178,17823.659,17924.63,17889,18315,18621,18616,18705,18413.015,17750.115,17755.115,17743.115
Belgium,1060,1060,726,726,607,569,609,676,686,693,684,662,662,662,665,669,686,689,707,709,739,758,780,776,751,756,766,781,786,786,787,788,753,776,776,776,776,776,776,776,776,668.5,668.5
France,3326,3179,2831,2378,2194,2184,1919,1927,1815,1699,1699,1699,1711,1687,1697,1728,1749,1872,1918,1933,1984,1961,1987,1967,1982.293068,1978.216384,1959.278877,1961.96989,1970.605233,1842,1702.20674,1610.170055,1512.771425,1508.413,1406,1406,1406,1251.913,1251.913,1251.913,1251.913,1150.913,1150.913
Germany,3422,3333,2976,2735,2553,2198,2158,2061,2077,2018,2024,2209,2219,2248,2272,2104,2098,2170,2206,2240,2262,2274,2286,2304,2320.095616,2322.103836,2390.383288,2390.383288,2366.284658,2362.268219,2091.15863,2077.482658,2096.520575,2061.135753,2076.619123,2049.488082,2051.496301,2051.496301,2051.496301,2051.496301,2051.496301,2051.496301,2051.496301
Italy,3101,3036,2795,2777,2738,2585,2586,2591,2475,2474,2528,2535,2455,2359,2359,2359,2344,2345,2385,2485,2485,2485,2485,2485,2497,2515,2526,2377,2396,2396,2396,2276,2098,1861,1900,1900,1900,1900,1900,1900,1900,1900,1900
Netherlands,1936,1789,1709,1588,1584,1562,1540,1447,1443,1451,1291,1309,1338,1281,1281,1341,1318,1345,1345,1361,1361,1362,1365.5,1365.5,1367.5,1357.9,1357.886,1320.28,1363.58,1363.58,1357.929,1360.229,1358.331,1358.331,1358.331,1376.35,1376.35,1376.35,1376.35,1342.35,1292.35,1292.35,1292.35
Poland,361,361,361,361,361,361,361,361,361,361,361,335,335,335,341,341,341,361,372,378,384,386,482,482,484.7841096,506.9146849,497.6567945,493.4596164,492.4555068,491.0497534,560.4738904,579.5720548,581.7610137,581.7610137,581.7610137,581.3794521,581.3794521,581.3794521,581.3794521,581.3794521,581.3794521,581.3794521,581.3794521
