Index,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
OECD Americas,17628,16437,15375,14450,14905,14841,15509,15784,16302,16501,16679,16453,16532,16916,17075,17157,17416,17972,18270,18247,18496,18592,18460,18850,19101,18866,18934,18733,18358,18009,18527,18600,18757,19080,19456,19624,19561,19820,20056,20108,17561,18727,19690
Canada,1967,1833,1564,1493,1491,1451,1424,1477,1553,1585,1623,1526,1479,1566,1608,1592,1664,1671,1731,1739,1744,1792,1795,1822,1810,1779,1808,1782,1801,1817,1809,1813,1868,1806,1804,1802,1821,1861,1847,2211,1993,2068,2136
Chile,100,96,70,76,77,77,84,88,100,118,126,128,134,142,154,163,173,181,199,200,200,203,199,217,224,225,255,240,235,238,187,198,184,194,199,199,201,225,232,252,205,225,208
Mexico,1017,1136,1124,1087,1182,1149,1175,1216,1202,1247,1321,1290,1320,1357,1282,1283,1243,1283,1228,1227,1252,1245,1286,1303,1284,1284,1270,1261,1295,1294,1358,1308,1333,1362,1300,1195,1026,839,666,658,643,779,886
United States,14544,13371,12617,11794,12156,12165,12826,13003,13447,13551,13610,13508,13600,13851,14032,14119,14337,14838,15113,15080,15299,15352,15180,15508,15783,15578,15602,15450,15027,14659,15173,15281,15372,15718,16152,16427,16513,16896,17311,16987,14720,15655,16460
OECD Europe,13162,11772,11178,10806,10868,10522,11184,11013,11745,11675,11670,11737,12416,12869,13181,13383,13683,14087,14451,13902,14077,13693,14189,14756,14781,14789,14386,14407,13978,12747,13730,13580,13371,12923,12780,13261,13133,13444,13351,13247,11680,11994,12568
Belgium,671,588,500,464,464,409,533,553,591,607,507,575,578,558,566,530,634,626,663,646,680,644,673,728,689,644,631,662,675,648,740,669,709,656,720,712,677,713,689,712,553,620,580
France,2226,1858,1564,1445,1461,1432,1395,1307,1388,1412,1437,1521,1460,1557,1537,1582,1591,1695,1753,1660,1706,1739,1617,1727,1736,1711,1655,1654,1676,1449,1514,1518,1289,1237,1238,1238,1247,1257,1187,1089,784,747,871
Germany,2423,2112,1997,1816,1809,1771,1791,1747,1883,1805,1839,1854,2019,2063,2157,1971,1953,2038,2072,2034,2139,2138,2145,2087,2131,2191,2245,2193,2151,2026,1987,1972,1979,1950,1968,1942,1947,1941,1959,1937,1847,1859,1954
Italy,1837,1761,1616,1468,1378,1319,1503,1407,1404,1454,1556,1556,1617,1631,1591,1576,1603,1688,1818,1736,1752,1753,1737,1795,1837,1890,1847,1863,1741,1614,1834,1748,1653,1466,1370,1522,1511,1548,1490,1467,1228,1357,1465
Netherlands,1012,818,795,877,958,856,1007,1040,1088,1089,994,1071,1107,1123,1122,1141,1163,1161,1186,1172,1174,1180,1074,1135,1171,1178,1142,1131,1120,1104,1207,1209,1198,1167,1183,1226,1226,1226,1235,1261,1149,1206,1212
Poland,324,273,269,274,273,282,287,287,310,317,265,239,198,231,274,310,319,327,339,350,359,360,365,358,373,376,396,402,417,432,501,526,551,514,514,550,548,545,551,583,547,538,579
Spain,982,938,897,895,871,895,976,932,983,1002,1017,1060,1100,1044,1102,1110,1095,1115,1200,1181,1143,1132,1134,1149,1199,1195,1210,1159,1174,1057,1162,1143,1233,1208,1215,1297,1295,1321,1358,1315,1117,1168,1261
Turkey,262,274,336,327,373,370,397,476,492,445,479,435,447,496,496,542,525,529,550,515,475,507,521,530,521,513,526,513,488,373,404,450,469,465,402,525,569,607,546,720,682,730,790
United Kingdom,1625,1447,1363,1354,1384,1383,1396,1399,1519,1533,1568,1601,1615,1712,1673,1688,1761,1764,1719,1663,1640,1549,1584,1576,1655,1619,1533,1528,1533,1440,1521,1546,1421,1358,1261,1268,1163,1160,1165,1215,990,1001,1126
Others,1800,1703,1840,1886,1897,1803,1899,1867,2087,2009,2009,1823,2274,2453,2664,2935,3039,3144,3150,2945,3009,2693,3338,3673,3469,3471,3200,3301,3002,2603,2860,2798,2868,2902,2910,2981,2951,3126,3170,2948,2784,2768,2731
