Index,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,30.4,29.09,27.93,14.83,18.1,15.11,18.45,24.13,20.78,19.75,17.39,16.05,17.33,21.32,19.57,12.96,18.15,28.82,24.86,25.06,28.99,38.53,54.87,66.31,74.16,99.33,62.63,80.34,112.26,111.18,108.85,99.19,53,44.02,54.08,71.35,64.42,41.72,70.72,102.96
Angola,na,na,na,na,na,na,na,na,na,18.52,15.74,14.96,16.36,19.99,18.06,11.73,17.34,27.22,22.83,24.27,28.01,35.54,51.2,62.07,69.65,94.29,61.42,79.13,110.09,112.1,108.47,98.07,51.77,42.83,54.3,71.15,65.34,42.29,71,103
Egypt,na,27.2,25.87,12.62,16.75,12.92,15.88,20.76,16.87,16.51,13.82,13.89,15.57,18.66,16.91,10.42,16.19,25.16,21.09,22.45,25.76,32.19,47.71,58.74,66.78,91.68,58.38,75.4,106.18,107.62,105.35,95.13,48.94,40.41,51.56,68.47,62.61,40.23,67.77,96.15
I.R.Iran,28.15,26.81,26.03,13.5,17.03,13.26,16.04,20.64,17.34,17.77,15.06,14.84,16.17,19.03,18.24,11.97,17.25,26.75,22.9,23.52,26.89,34.6,50.66,61.07,69.3,94.66,61.25,78.18,108.29,109.79,107.19,97.26,51.4,41.66,52.36,69.1,62.74,40.36,67.9,96.28
Indonesia,28.98,27.96,25.99,13.42,17.78,15.1,17.63,23.26,19.4,19.24,17.89,16.21,17.64,20.7,19.26,12.31,17.84,28.75,24.11,25.6,29.52,36.85,54.01,65.23,73.56,100.65,64.9,82.28,114.79,116.6,107.41,98.68,49.17,41.11,48.99,65.44,60.25,41.08,68.75,96.94
Libya,29.74,28.88,27.79,14.31,17.68,14.72,18.21,23.82,20.41,19.54,17.08,15.88,17.22,21.06,19.36,12.9,18.08,28.65,24.7,24.96,28.89,38.35,54.22,65.04,72.93,98.12,62.16,79.67,112.89,111.45,108.88,98.79,52.08,43.73,53.62,70.65,63.76,40.12,69.39,101.67
Malaysia,na,na,na,na,na,na,na,24.08,21.23,20.77,18.86,17.14,18.29,22.01,20.92,13.8,18.89,29.74,25.44,25.69,30.08,41.14,57.94,70.04,77.87,104.55,65.05,82.74,117.15,116.98,114.39,103.15,55.75,45.69,56.33,73.78,69.15,43.24,72.82,111.57
Mexico,28.82,28.19,26.86,13.43,17.81,14.19,17.72,22.05,18.48,18.05,15.93,15.36,16.73,20.65,18.26,12.08,17.29,27.8,22.22,24.12,28.25,37.01,50.35,59.87,67.58,95.22,60.85,77.86,105.64,106.55,105.16,93.65,51.14,42.37,54.6,68.74,63,36.61,66.2,91.85
Nigeria,29.45,28.84,27.76,14.29,18.4,15,18.29,23.74,20.17,19.61,17.44,16.2,17.26,21.21,19.29,12.62,17.93,28.4,24.24,25.05,28.65,38.1,55.6,67.07,74.49,101.42,63.35,81.06,113.65,114.21,111.95,101.35,54.41,43.7,54.58,72.56,66.19,41.56,70.81,104.76
Norway,29.92,28.83,27.65,14.37,18.34,14.94,18.3,23.78,20.34,19.55,17.18,15.89,17.19,21.06,19.22,12.71,17.93,28.42,24.39,24.88,28.89,38.18,54.48,65.3,73.2,99.4,62.67,80.52,112.74,112.76,109.88,99.72,53.12,44.01,54.49,71.86,65.24,42.33,71.65,105.26
Oman,28.75,28.02,26.94,13.29,17.25,13.53,16.07,20.89,17.14,17.72,15.77,15.12,16.34,19.12,18.52,12.06,17.27,26.5,22.75,23.94,27.14,34.35,50.48,62.59,68.86,94.51,62.06,78.34,106.63,109.35,105.51,97.04,51.21,41.96,53.32,70.1,64,43.2,69.46,96.38
Qatar,29.12,28.02,27.15,13.46,17.4,13.63,16.18,21.22,17.86,18.49,16.21,15.83,16.73,19.46,18.99,12.55,17.65,26.95,23.74,24.37,27.44,36.05,53.46,65.39,72.33,98.39,62.86,79.36,108.86,110.34,107.05,98.44,52.87,43.69,54.12,71.22,63.65,42.44,69.92,99.25
