Index,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria - Saharan Blend,29.901,28.721,27.63,14.525,18.363,15.138,18.528,24.344,21.038,20.027,17.495,16.193,17.405,21.334,19.623,13.019,18.12,28.768,24.74,24.908,28.727,38.345,54.64,66.05,74.66,98.96,62.35,80.35,112.92,111.49,109.38,99.68,52.79,44.28,54.12,71.44,64.49,42.12,70.89,104.24
Angola - Girassol,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,31.02,28.326,35.765,51.331,63.06,70.88,95.64,61.81,79.53,111.57,112.21,109.14,99.19,52.96,43.61,54.47,71.72,66.11,42.64,71.31,103.66
Congo (Republic of the) - Djeno,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,49.25,41.98,52.77,68.59,61.8,35.77,63.35,93.65
Equatorial Guinea - Zafiro,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,36.26,51.34,62.07,70.4,94.68,61.29,79.19,111.89,112.03,109.21,98.28,50.96,42.43,54.04,71.36,65.74,41.54,71.09,102.88
Gabon - Rabi Light,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,52.83,42.62,53.16,70.3,63.18,40.22,70.34,100.64
IR Iran - Iran Heavy,27.222,26.175,25.556,13.044,16.574,12.852,15.543,19.906,16.329,16.718,14.075,14.557,16.262,18.489,17.997,11.453,16.934,26.022,21.666,23.094,26.335,33.061,47.99,59.27,67.06,91.49,60.62,76.74,106.11,109.06,105.73,96.18,48.8,39.57,51.71,67.97,61.85,40.77,69.8,99.92
Iraq - Basrah Light/Medium1,28.425,27.782,26.65,13.633,16.9,13.66,16.33,na,na,na,na,na,na,na,na,10.76666667,16.28375,24.91875,20.00291667,23.317,26.598,34.596,48.33,57.97,66.4,92.08,60.5,76.79,106.17,107.96,103.6,94.45,47.87,39.53,51.87,68.62,63.64,41.55,69.86,97.33
Kuwait - Kuwait Export,27.343,26.769,26.288,12.653,16.475,12.605,15.234,15.062,na,16.849,14.068,14.111,15.898,18.413,17.809,11.259,16.753,25.78,21.37,23.606,26.893,34.077,48.66,58.88,66.35,91.16,60.68,76.32,105.63,108.93,105.04,95.32,48.13,39.3,51.6,68.9,64.25,41.49,70.5,101.19
Libya - Ess Sider,29.138,28.427,27.31,13.417,17.743,14.407,17.783,23.244,19.512,18.793,16.431,15.571,17.062,20.695,18.995,12.903,18.044,28.615,24.699,24.545,28.21,36.581,52.62,63.35,71.41,96.65,61.45,79.13,111.9,111.86,108.51,98.51,51.38,42.69,52.82,69.78,63.81,40.06,69.16,101.28
Nigeria - Bonny Light,29.9,28.888,27.766,14.475,18.499,15.113,18.502,24.164,20.553,19.952,17.565,16.214,17.34,21.238,19.404,12.771,18.066,28.493,24.5,25.153,28.765,38.269,55.67,66.84,75.14,100.6,63.25,81.07,114.15,113.66,111.36,100.85,52.95,44.02,54.55,72.11,65.63,41.53,70.63,103.63
Saudi Arabia - Arab Light,28.778,28.058,27.542,13.728,17.226,13.402,16.207,20.815,17.432,17.936,15.684,15.394,16.725,19.905,18.706,12.198,17.451,26.807,23.061,24.318,27.686,34.53,50.21,61.1,68.75,95.16,61.38,77.82,107.82,110.22,106.53,97.18,49.85,40.96,52.59,70.59,64.96,41.91,70.65,101.64
United Arab Emirates - Murban,29.256,28.312,27.433,13.654,17.544,13.92,16.607,21.696,18.168,18.862,16.897,16.21,17.179,20.304,19.592,12.667,17.885,27.75,24.02,24.871,28.246,36.654,54.09,66.06,72.87,99.03,63.78,79.94,109.77,111.76,108.21,99.45,53.87,44.83,54.82,72.2,64.72,42.98,70.09,98.89
Venezuela - Merey,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,40.53,52.01,61.8,86.73,55.9,69.7,97.94,100.06,96.66,86.88,41.11,34.02,47.63,64.47,54.04,28.12,51.45,76.96
OPEC - ORB,29.037,28.204,27.007,13.533,17.725,14.243,17.311,22.257,18.622,18.44,16.325,15.527,16.86,20.291,18.676,12.282,17.475,27.596,23.123,24.363,28.097,36.045,50.64,61.08,69.08,94.45,61.06,77.45,107.46,109.45,105.87,96.29,49.49,40.76,52.43,69.78,64.04,41.47,69.89,100.08
