Index,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Canada,563.836,658.77,728.229,768.402,816.849,872.481,956.311,1046.346,1109.163,1173.396,1304.644,1375.323,1539.47,1742.33,1634.674,1380.57,1255.356,1263.005,1249.249,1393.785,1294.368,1158.596,1127.06,1169.91,1269.856,1250.403,1129.633,1237.821,1280.02,1223.248,1207.099,1195.21,1235.693,1296.354,1350.748,1380.171,1401.272,1414.129,1427.581,1345.681,1391.501,1377.479,1445.792,1459.41,1405.22,1359.958,1345.7,1388.435,1348.71,1217.233,1227.142,1260.838,1308.519,1381.597,1399.841,1263.375,1185.5,1212.926,1272.775,1303.838,1198.806,1185.118,1232.263
Chile,21.605,27.716,34.918,39.501,40.81,37.973,37.1,36.991,40.81,39.937,37.1,38.5,37.4,34.2,30,26.7,25,24.244,19.162,19.836,28.678,37.277,43.353,39.321,38.24,32.981,31.255,27.647,24.913,22.019,19.534,17.837,14.933,15.121,19.224,22.58,9.148,8.506,8.11,7.706,7.199,6.618,5.84,3.919,4,4,3,2,2,2.753,3.003,4.504,6.082,6.666,6.581,4.499,3.749,2.992,3,2.833,1.497,1.838,2
Mexico,265.09,286.544,300.161,308.292,309.369,316.52,324.847,356.784,380.785,450.437,420.068,433.63,444.019,471.699,557.521,722.474,804.754,996.29,1207.438,1472.085,1936.697,2313.101,2749.052,2691.093,2684.817,2630.8,2427.745,2540.967,2507.459,2513.141,2547.749,2675.757,2667.755,2673.363,2685.377,2617.765,2858.189,3022.375,3070.619,2906.082,3012.117,3127.052,3177.219,3370.816,3383.003,3333.564,3255.655,3081.718,2798.464,2601.419,2577.192,2552.466,2547.932,2522.195,2428.882,2266.833,2153.456,1948.43,1809.962,1678.756,1663.03,1664.803,1622.496
United States,7035.3,7182.9,7332,7541.7,7614.3,7804.1,8295.2,8810.3,9095.7,9237.7,9658.792,9635.356,9521.585,9207.941,8774.209,8374.736,8131.637,8244.546,8707.438,8551.535,8596.627,8571.573,8648.539,8687.657,8878.957,8971.366,8680.13,8348.975,8139.69,7613.095,7355.298,7416.537,7171.122,6846.661,6661.583,6559.637,6464.543,6451.594,6251.834,5881.462,5821.605,5801.352,5744.052,5649.238,5440.915,5183.712,5085.945,5073.926,4999.727,5356.751,5484.375,5674.293,6523.809,7497.356,8793.342,9441.732,8847.634,9359.247,10953.408,12315.055,11317.699,11253.679,11886.901
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,1.1,3.3,3.9,10.2,8.6,8.4,5.8,25.8,37,42,52.8,60.824,73.896,93.646,96.042,110.589,120.752,142.303,156.896,167.711,184.975,186.019,208.567,230.918,236.516,297.275,362.514,346.662,368.649,369.44,389.163,377.135,342.009,304.633,279.833,261.255,246.203,221.693,201.948,175.956,164.904,155.967,140.052,136.584,114.866,101.668,71,65.636,64.633
Norway,0,0,0,0,0,0,0,0,0,0,0,6.229,32.95,33.168,34.693,189.186,287.678,279.712,355.882,403.088,522.735,501.447,490.416,609.879,692.178,796.046,878.587,1018.645,1152.673,1501.555,1645.77,1882.045,2102.773,2268.764,2537.981,2697.579,3030.781,3062.881,2908.017,2880.653,3182.792,3117.998,2992.41,2851.511,2797.355,2552.739,2353.563,2210.446,2107.577,1980.422,1798.622,1680.126,1532.792,1463.597,1511.825,1567.436,1614.571,1588.332,1486.759,1408.227,1698.727,1770.063,1685.121
United Kingdom,1.761,2.279,2.383,2.59,2.798,1.761,1.658,1.969,2.072,1.658,1.865,1.625,1.583,2,2,23.832,236.469,766.332,1076.774,1565.572,1611.233,1803.23,2068.238,2260.536,2505.84,2532.066,2499.805,2457.213,2273.802,1814.872,1834.906,1811.034,1851.133,1942.992,2397.377,2488.238,2517.756,2493.973,2560.236,2649.389,2427.062,2269.33,2254.348,2065.772,1851.275,1644.23,1486.359,1477.402,1352.462,1301.153,1202.364,1006.047,868.645,796.074,776.049,879.74,914.822,891.205,984.879,1007.195,930.536,790.625,723.047
Australia,0,0,0,0,3.837,6.738,8.703,19.466,35.468,40.522,167.048,327.464,336.362,419.427,405.784,412.362,425.825,431.011,431.575,440.674,371.432,383.129,364.438,407.17,478.202,543.033,441.14,485.449,460.548,422.437,492.039,455.795,438.653,394.731,428.477,389.674,410.224,427.757,391.895,388.476,593.757,531.671,496.282,391.195,316.492,318.718,309.864,325.638,346.262,314.926,328.277,276.553,276.273,209.211,234.082,211.718,165.257,144.688,116.827,135.575,137.514,120.608,110.438
China,17.5,24.15,38.45,43.85,54.65,78.75,100,120,100,144.5,210,327.068,525.956,646.356,962.466,1451.233,1652.664,1781.014,1916.986,2129.315,2169.139,2012.438,2008.384,2101.614,2262.434,2442.926,2553.123,2666.233,2720.333,2760.31,2766.005,2804.575,2814.451,2924.323,2941.937,2996.167,3173.175,3254.433,3207.277,3211.86,3228.26,3297.17,3393.058,3407.151,3485.001,3617.239,3673.534,3735.988,3802.051,3794.562,4076.4,4052.112,4074.164,4163.773,4208.34,4287.838,3986.145,3821.485,3787.005,3825.016,3888.989,3987.677,4093.86
India,17.194,17.385,42.603,67.63,89.409,118.066,182.257,215.881,104.12,256.956,138.699,141.425,147.923,149.151,150,161.288,174.153,200,225.863,245.068,182.486,290.904,390.337,430.192,528.47,616.671,620.852,609.104,634.88,677.724,668.74,626.743,558.304,532.319,620.656,695.208,661.119,678.676,658.816,655.754,645.542,641.461,661.07,663.131,682.575,652.059,638.965,640.876,635.006,619.071,692.332,725.652,717.18,716.589,720.118,718.83,691.587,687.616,661.112,622.597,586.918,573.685,563.189
Brunei,81.015,72.338,66.665,58.571,59.906,67.082,79.931,86.772,106.713,113.805,133.496,175.068,246.011,325.452,360.712,320.384,299.167,392.712,453.986,500.721,248.011,214.932,161.838,155,160,154.137,165.014,142.704,141.476,132.744,134.26,144.734,165.225,155.338,161.806,157.45,148.354,147.028,141.273,166.853,177.896,180.484,209.948,213.504,210.306,206.099,220.745,176.69,157.74,154.611,159.416,156.452,145.658,122.142,114.449,115.329,109.117,100.644,99.537,109.641,100.5,98.178,84.268
Indonesia,409.6,424.3,453.4,444,456.6,480.6,464.6,505.4,600.7,742.3,853.6,892.1,1080.8,1338.5,1374.5,1306.5,1503.609,1686.157,1635.199,1590.809,1575.667,1604.189,1324.838,1245.285,1280.806,1178.14,1251.647,1158.115,1170.421,1238.863,1299.37,1449.937,1347.765,1327.337,1332.822,1328.408,1326.762,1330.403,1315.422,1207.115,1271.579,1214.268,1124.786,1139.649,1086.445,961.408,896.285,837.751,856.579,826.482,824.518,794.184,763.396,727.162,697.279,690.066,737.918,710.197,684.584,664.047,630.762,585.025,539.2
