Index,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Canada1,5000,5000,4600,5675,5281,7500,8250,8791.8,9900,8782,10750,8448.3,10200,9424.2,9400,7100,6200,6000,6000,6800,6805.5,5983,6689,6432.7,5969.2,5760.4,5940.2,5913.4,6133.5,5899.8,5585.1,5291.6,5093.1,5035.5,4898.5,4893.6,4839.2,4930.8,4876.8,4703.8,4855.9,4655.1,4490,4254,4352,5208,4942,5014.45,4812,4325,4145,4122,4291,4281,4129,4354,4418,5423,5192,4906,4918.650434,4855.109442,4731.088978
Chile,110,150,150,200,225,200,175,150,136,130,125,120,125,124,200,190,182,440,400,400,400,387,372,358,345,333,322,312,303,300,300,300,300,300,300,300,300,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
Mexico,2250,2500,2500,2500,2800,2500,2500,2600,5500,6000,3200,4500,2800,3600,3582,9500,7000,14000,16000,31250,47224,56998,56998,57096,56410,55593,54880,54110,53012,51983,51298,50925,51225,50776,49775,48796,48472,47822,28399,28260,24384,25425,17196,16040,14803,13670,12850,12187,11865,11866,11691,10161,10025,10073,9812,9711,7142,6537,5807,5333,5498,5618,5558
United States,31613.2,31758.5,31389.2,30970,30990.5,31352.4,31452.1,31376.7,30707.1,29631.9,39001.3,38063,36339.4,35299.8,32250,32682,30942.2,31780,31355,29810,29805,29426,27858,27735,28446,28416,26889,27256,26825,26501,26254,24682,23745,22957,22457,22351,22017,22546,21034,21765,22045,22446,22677,21891,21371,21757,20972,21317,19121,20682,23267,26544,30529,33371,36385,32318,32773,39160,43824,44191,35835,41151,55250.63211
Denmark,0,0,0,0,0,0,0,0,0,0,0,250,250,248.5,247,245,300,300,300,375,450,371,327,308,465,447,403,403,541,629,591,616,748,704,755,912,862,943,881,906,1113,1346,1277,1277,1327,1277,1157,1113,1113,1060,812,900,805,805.09,611,511,491,439,428,441,441,428,340
Norway,0,0,0,0,0,0,0,0,0,0,2000,2000,2000,4000,7300,7000,5660,6000,5900,5750,4962,4597,4484,5824,6012,6082,7982,9259,9485,9353,9951,9894,10122,10194,12277,13612,11280,10913,10366,10921,11373,11597,10448,10149,9722,9697,8548,8168,7491,7078,6804,6883,7495,7047,6539,8005,7601,7918,8645,8523,7902,7745,7573
United Kingdom,5,5,5,5,5,5,5,10,9,9,2500,3000,6000,10900,7725,9827,9896,10070,8735,8755,8438,7875,7463,6938,6000,5625,5325,5175,4275,3825,4013,4163,4575,4538,4313,4538,4988,5175,5138,4988,4725,4538,4463,4283,3998,3870,3593,3593,3590,3100,2800,2800,2800,2979.08,2982.14,2754.685,2564,2500,2500,2700,2500,2000,1800
Australia,1,2,50,50,50,60,607.9,601,2500,2500,2440,2321,2198,2045,1897,1747,1592,1435,1278,1118,2123,2618,2931.05,2490.77,2559.95,2459.32,2874.44,2905.89,3188.93,3100.88,3157.49,3226.67,3220.38,3258.12,3817.92,3799.05,3817.92,4038.06,4773.97,4742.52,4943.79,4956.37,4572.69,3749.44,3889.26,3718.34,3514.52,3428.96,4239.2,4061.4,3831.08,3872.94,3921.97,3957,2390,2390,2390,2390,2390,2390,2390,1747,1803
China,500,600,600,600,800,1000,1000,1000,2000,2000,2000,8772,8772,10386,10386,12100,12632,12650,14053,13509,13334,13272,13241,14861,16342,17064,17138,17400,17260,16037,15998,15492,15172,16413,16236,16333,16422,16998,17399,17832,17945,18300,15509,15476,18259,18250,20220,20220,21187,21618,23268,23747,24428,24375.6,24648.84,25132.122,25620,25627,25927,26154,26023,26491,27003
India,750,500,500,750,750,800,1400,1638,1500,715,956,949,897,843,788,729,3000,3000,2982.439995,2893,3436.0841,3444.2,3857.8523,3744.3,3661.4083,4090.2133,4132.2875,4363.1825,4837.8,5345.403,5539.6475,5898.8175,5831.015,5684.415,5546.9775,5356.3975,5363.7275,5468.2,5394,4972,5290,5513,5576,5731,5565,5919,5693,5459,5798,5823,5883,5704,5720,5711,5743,4786,4622,4495,4423,4423,4605,4489,4370
